label        tp	 fp	 fn	 prec	 rec	 f1
DA           6	 8	 0	 0.42857143	 1.0	 0.59999996
N            0	 0	 3	 0.0	 0.0	 0.0
NA           0	 0	 1	 0.0	 0.0	 0.0
SD           0	 0	 1	 0.0	 0.0	 0.0
VC           0	 0	 2	 0.0	 0.0	 0.0
CC           2	 1	 0	 0.6666667	 1.0	 0.8
P            0	 0	 2	 0.0	 0.0	 0.0
tp: 8 fp: 9 fn: 9 labels: 7
Macro-average	 prec: 0.15646258, rec: 0.2857143, f1: 0.20219779
Micro-average	 prec: 0.47058824, recall: 0.47058824, f1: 0.47058824
